Total words:90
47:	down
38:	me
28:	let
14:	if
14:	you
11:	i
10:	slowly
10:	so
9:	a
8:	and
7:	lonely
7:	then
7:	wanna
7:	leaving
7:	be
7:	you're
7:	go
7:	i'll
7:	the
7:	baby
6:	to
5:	from
4:	myself
4:	please
4:	stop
4:	cold
4:	i'm
4:	can
4:	can't
4:	falling
3:	your
3:	hope
3:	find
3:	little
3:	show
3:	sympathy
3:	could
3:	way
2:	through
2:	don't
2:	leave
2:	cracks
2:	waste
2:	in
2:	once
2:	here
2:	cut
2:	out
2:	now
2:	of
2:	grace
2:	man
2:	slipping
2:	embrace
2:	was
2:	with
2:	throw
2:	dignity
1:	feet
1:	door
1:	corridor
1:	feel
1:	awake
1:	while
1:	haven't
1:	tile
1:	drag
1:	bathroom
1:	sink
1:	night
1:	this
1:	is
1:	my
1:	steps
1:	an
1:	talked
1:	as
1:	keep
1:	know
1:	looking
1:	away
1:	skin
1:	for
1:	we
1:	fade
1:	walking
1:	kitchen
1:	on
1:	kingdom
1:	open
